Exemple,Algorithme,Nombre d'arêtes,Coupe min,Nombre de contractions
321,karger,56,4,13
322,karger_recursive,0,0,0
322,karger_improved,0,0,0
322,karger,0,0,0
323,karger_recursive,14,0,720
323,karger_improved,14,0,20
323,karger,14,0,10
324,karger_recursive,117,0,6624
324,karger_improved,117,5,44
324,karger,117,11,22
325,karger_recursive,31,0,792
325,karger_improved,31,2,20
325,karger,31,2,10
326,karger_recursive,0,-1,0
326,karger_improved,0,0,0
326,karger,0,0,0
327,karger_recursive,152,7,12600
327,karger_improved,152,45,56
327,karger,152,43,28
328,karger_recursive,1,1,0
328,karger_improved,1,1,0
328,karger,1,1,0
329,karger_recursive,28,0,3400
329,karger_improved,28,0,34
329,karger,28,0,17
330,karger_recursive,209,7,12600
330,karger_improved,209,81,56
330,karger,209,60,28
331,karger_recursive,81,0,1920
331,karger_improved,81,11,28
331,karger,81,38,14
332,karger_recursive,186,0,4400
332,karger_improved,186,68,38
332,karger,186,16,19
333,karger_recursive,2,0,288
333,karger_improved,2,0,4
333,karger,2,0,2
334,karger_recursive,42,0,4840
334,karger_improved,42,0,40
334,karger,42,0,20
335,karger_recursive,221,14,7176
335,karger_improved,221,69,46
335,karger,221,103,23
336,karger_recursive,105,0,1568
336,karger_improved,105,26,26
336,karger,105,14,13
337,karger_recursive,112,4,10192
337,karger_improved,112,8,52
337,karger,112,33,26
338,karger_recursive,27,0,5760
338,karger_improved,27,0,40
338,karger,27,0,20
